id,manufacturer,model,year,gearbox_type,operating_hours,fuel_type,registration_fees,efficiency,engine_capacity,price
gh7ZwdMtGWrSXvBWArDxn8,E,E_3,2015,Automatic,50497,Petrol,160,43.5,1.8,15399
UWAeJcUN4UVyvzA9W2Xm79,G,G_0,2009,Manual,63400,Petrol,145,49.6,1.2,4045
4aTqbj39EcFkwy7dkwCQkf,G,G_0,2019,Semi-Auto,7838,Petrol,145,48.7,1.0,14499
bgiVUTAujGr4SvuhzCcFPW,G,G_3,2016,Manual,28226,Diesel,145,54.3,2.0,12492
jNhzq33ayUKYVEeBiGpffy,A,A_4,2019,Manual,8501,Petrol,145,39.2,1.4,14500
J8xBProVFB7qYN89rewZAA,I,I_4,2019,Automatic,10005,Diesel,145,35.8,2.0,52146
Pd89BBQWLQTW84VewLfnVf,B,B_0,2017,Automatic,18820,Diesel,145,65.7,2.0,21995
YZHVJyVm53SdtnQuZaKmU2,C,C_7,2017,Manual,14215,Petrol,150,64.2,1.0,6990
3rXFWfVUFhdBkcQj4s6T7m,B,B_0,2017,Semi-Auto,23000,Diesel,150,51.4,3.0,32995
APZywVPkVT4jy4hNaMDhbN,G,G_5,2016,Manual,30484,Diesel,20,68.9,1.5,8499
3Fob6vQGpdEW8pXVc2k3rb,D,D_7,2019,Manual,4861,Petrol,145,44.1,1.0,13695
cMfugssHCVHoNrNvZvuH8M,A,A_1,2017,Automatic,18293,Petrol,145,50.4,1.4,11692
hVhYe96fVARar5NLtbPZ6q,B,B_0,2016,Semi-Auto,26109,Diesel,30,65.7,2.0,15495
TiBidkDpU7wgW5XsPsxYYG,A,A_10,2019,Automatic,6500,Petrol,145,43.5,1.2,23790
JjScVJAxf3oupKATepgRPV,E,E_3,2017,Manual,31585,Petrol,145,60.1,1.0,12975
Fpe8DXqqA2hPdfzuWCVdYR,H,H_7,2019,Manual,6601,Petrol,150,60.1,1.0,12690
GaoG7kR4qJfpoZaeYpUhLY,G,G_1,2019,Manual,7069,Petrol,145,34.5,2.3,27580
7SMHHkBeDR56wwmQeXhHFW,F,F_3,2017,Automatic,18613,Hybrid,0,86.0,1.5,11790
PkPJjeawc3vTmAo6WzmvkD,G,G_1,2019,Automatic,12848,Petrol,150,50.4,1.0,14798
nwTmgKSu97FrWn9FBizcD9,B,B_4,2019,Manual,123,Petrol,145,52.3,1.5,22646
hKv3Wqjg8VpkJS76ve65V6,C,C_1,2019,Manual,1000,Petrol,145,45.6,1.5,22990
hjHMAG3fyRP7xwjkzSPkHp,E,E_3,2005,Manual,106790,Petrol,240,35.3,1.6,2895
CCVpSnWfEqGcVUoaxrKnWe,A,A_12,2019,Automatic,34023,Diesel,145,42.2,2.0,17690
gZsp5ShyKg82XxKEjSSt3y,A,A_12,2017,Manual,27356,Diesel,145,54.3,2.0,14999
gtESk557V3EmnhcVRxrkZz,A,A_5,2019,Automatic,12011,Petrol,150,42.2,1.2,13995
KGMjpieJdBPrKSQWeYHYFC,G,G_0,2018,Manual,9080,Petrol,145,62.8,1.0,11900
Yf9XfDLnmnxfyhJoVLcfft,G,G_5,2017,Manual,10323,Petrol,145,55.4,1.0,12499
4MMiBaqwb8q56QA8iV5cA4,D,D_1,2016,Manual,21240,Diesel,30,61.7,1.7,11498
efMy3kkkKqHbayrsXDB6aP,I,I_6,2016,Semi-Auto,30998,Petrol,160,45.6,2.0,18290
fkLe46CeGEfe88XX6zLFn8,E,E_10,2017,Semi-Auto,24953,Petrol,200,40.9,2.0,26990
CWcUPRSWwcB2Yha2fKSGbG,D,D_2,2018,Manual,22524,Petrol,145,60.1,1.0,6985
PYrY6zYgHTcmnEwqempARS,D,D_7,2018,Manual,8847,Petrol,145,44.1,1.0,14750
TifeE5cRSyiL6LeyVjNJQa,G,G_0,2019,Manual,12,Petrol,145,55.4,1.0,14995
aB8A5QXmt4EKSgEbA8DNvU,C,C_5,2016,Manual,33100,Diesel,160,50.4,2.0,19000
LqCMHcAoJxu6s38caV9NM4,A,A_1,2020,Manual,10,Petrol,145,54.3,1.2,16000
8BrbUDnfjSPjHjwhLRzqMe,E,E_1,2019,Automatic,7098,Diesel,145,39.8,3.0,32996
YfmjxRa323v8obpSYKvWnW,I,I_5,2018,Automatic,10512,Petrol,145,50.4,1.6,19700
hxSgmhDZ99mNDooyRSoHTv,E,E_5,2008,Manual,83000,Diesel,230,42.1,2.0,8495
5XCESmBRYBaQpGfWgZYLWN,B,B_7,2016,Automatic,86060,Hybrid,0,134.5,2.0,14295
jZcjnmNuVSmwNCUMjDCnU3,C,C_3,2019,Manual,1873,Diesel,145,53.3,1.6,19995
C4WRBFLn93YGi5RVtig7XN,G,G_0,2018,Manual,35612,Petrol,145,56.5,1.0,10440
bonNhRHFwXLQnWUNMcGUmx,I,I_5,2018,Semi-Auto,20062,Petrol,145,50.4,1.6,20250
665NGtHwmWENCyStpTh3z4,F,F_4,2017,Automatic,26873,Hybrid,135,78.5,1.8,16000
dWmYm4Kg2f2xWgHzvGbBvi,A,A_3,2016,Manual,43423,Diesel,30,65.7,1.6,8750
HK4zN7J2x2Y6ZQgsEbLHJp,D,D_8,2012,Manual,60200,Petrol,165,43.5,1.6,6300
2ZCgbqnzNpNMZNv5bhHkPJ,E,E_11,2020,Automatic,1500,Diesel,145,33.2,3.0,57888
oEMRSSLRVj4dS7oM94xDss,I,I_9,2016,Automatic,29947,Diesel,30,61.4,2.1,17000
QkxtWKg8YZNeNh8Rz8NAkv,E,E_1,2015,Semi-Auto,74644,Diesel,20,61.4,2.0,12498
navDFxQmxiXq73BBmyVs6x,E,E_10,2015,Semi-Auto,31086,Petrol,205,42.8,2.0,17490
d6bN3ExsRTUG6cKDzurg8g,C,C_1,2015,Semi-Auto,52000,Petrol,160,44.1,2.0,16500
M674QvySkT5ngdfozHmvRX,I,I_10,2019,Semi-Auto,9,Diesel,145,47.1,3.0,46980
2Go5LQo7dVkQwDpWA2fhgL,G,G_0,2008,Manual,54733,Petrol,145,47.9,1.6,4299
ioE2jShAht6oT4NXGmpszP,A,A_0,2016,Automatic,21462,Petrol,150,47.9,1.4,8430
it5fCfK6v63KybU8Pv2YAh,G,G_3,2019,Manual,1387,Petrol,145,39.2,1.5,20000
SZvW4pUyLgJtuucmiaKKc4,I,I_10,2017,Automatic,37581,Diesel,30,65.7,2.0,18600
HeE3Z8tAJ7x3GksYomSPaZ,C,C_3,2019,Manual,10740,Petrol,145,47.9,1.0,17704
Bof62qq4xtJRLYFjkBrLHW,A,A_1,2016,Manual,32709,Diesel,20,72.4,1.6,9000
eszyRa5FkDYaDDoWfsT8Rd,I,I_5,2017,Semi-Auto,24309,Diesel,150,64.2,2.1,13980
5w74eCN7czyov2etC8eWzG,G,G_14,2014,Manual,31423,Petrol,30,57.7,1.2,4490
8o983FrJxkendxw5yWPWrm,I,I_6,2019,Semi-Auto,2046,Diesel,145,56.5,2.0,22699
ZFkYUScMazZYUBvKF845im,G,G_3,2018,Semi-Auto,39821,Diesel,145,54.3,2.0,17890
PkpmuPdRApUqiMxeFx8AVg,E,E_0,2016,Manual,17397,Petrol,30,55.4,1.4,11500
mc3sEJPjXYiPYrASDeJ5Cj,D,D_1,2017,Semi-Auto,12980,Diesel,150,57.7,1.7,18495
Lsir67ZFTKA2tGWUsECXgX,B,B_4,2020,Semi-Auto,150,Petrol,145,42.2,1.5,26400
ghk5K5Egdf2o2UVeHiSyau,E,E_10,2019,Automatic,6000,Petrol,145,34.0,2.0,32990
koYNm9hubv3DsDjqWYvyhp,E,E_5,2020,Semi-Auto,5000,Petrol,145,32.1,2.0,39495
6pUeXDvEtmTcHNUpA3FY35,I,I_10,2017,Automatic,22702,Diesel,145,67.3,2.0,22594
cELYzjRAaFXnW6Up2NY4jR,I,I_15,2019,Automatic,2582,Diesel,145,45.6,2.2,41730
6qmGFtaDXBBhkDu7PR3ZZ7,A,A_1,2017,Manual,28918,Diesel,145,78.5,1.6,9580
eercnbwM3JDWT6hWEpWWbM,C,C_1,2019,Manual,14967,Petrol,145,49.6,1.0,14998
NJkt6Gzp3w4oWXfZjo6YnC,I,I_5,2020,Automatic,702,Petrol,145,44.8,1.6,22495
gN6F9D5nUgKNsWi2MUsxPo,I,I_11,2018,Automatic,12471,Petrol,145,50.4,1.6,19999
YNrsLzuTDyWsKrLFHswG4m,C,C_2,2018,Manual,33632,Diesel,145,70.6,1.6,12310
YuphckxeEgXDTiAZfRsxzv,A,A_11,2007,Manual,116000,Diesel,300,37.7,2.0,2895
gBb4zgWwTZh5zgrQmDBv4h,A,A_4,2019,Manual,10416,Petrol,145,39.2,1.4,14495
KXa8u5UxS7v2zVM9Ef3jsF,B,B_7,2019,Automatic,10633,Petrol,145,42.2,2.0,24850
aQtf8WDYvwpApcgDoMZzWG,G,G_3,2017,Manual,13222,Diesel,125,60.1,2.0,17999
S2PKx2TavByWx8QySQZMbx,H,H_11,2019,Semi-Auto,2687,Petrol,145,44.1,1.5,18995
TptGPYqGSWfoRvVERkpCHA,H,H_1,2017,Manual,15669,Petrol,145,64.2,1.0,6595
CBvMikrzSjmXEBSV7NR4DY,G,G_4,2019,Semi-Auto,6797,Petrol,150,45.6,1.0,15625
DkCeiSF5CwsrmkVyuRVD3J,G,G_0,2015,Manual,32000,Petrol,125,54.3,1.2,4990
KE5RhnNNThCQVWsTZ5CiSa,A,A_0,2018,Manual,11267,Petrol,145,43.5,1.4,9699
BD2WiWrHTL2F4RsP8z5dQV,G,G_0,2017,Manual,4262,Petrol,0,65.7,1.0,11798
U9Bfq5Gffsb4gQKfS52TWm,I,I_7,2020,Semi-Auto,1989,Diesel,145,55.4,2.0,24980
k99Gv5KMfgcMRsoqKaBdkz,G,G_5,2009,Manual,87500,Petrol,235,39.8,1.8,2995
nMXSWge8n2GgtGLKxANbJe,F,F_3,2015,Manual,46604,Diesel,0,80.7,1.4,6498
MehYZ9HfSXEDLoKPNRJMEw,G,G_1,2015,Manual,111000,Diesel,0,74.3,1.5,6250
JhPzNSWNR3Ng9XqZsCNSYT,G,G_10,2014,Manual,51090,Petrol,30,55.4,1.0,5750
hYv28N7xDTCXzEMDvP5hog,G,G_0,2017,Manual,17164,Petrol,0,65.7,1.0,8998
GPmXKiBveUwFnLcVyDjhg2,A,A_4,2017,Manual,33852,Petrol,150,47.1,1.4,10991
2WcCQL8WBFXnWCM6EMVVtd,E,E_4,2019,Manual,4750,Petrol,145,40.9,1.5,27750
hoQM3jDhCjDiQgPJYCbKZN,E,E_2,2016,Manual,45338,Petrol,145,51.4,1.4,12992
jGdy7FJH9mY8TqEXhcjQW5,I,I_10,2019,Semi-Auto,17556,Diesel,145,67.3,2.0,26980
KoSBS72qBviue3LXxe5Ehb,B,B_4,2018,Manual,28857,Diesel,150,54.3,1.5,15995
Wroe5gPkEtaL7QiGdTrDYz,D,D_4,2019,Manual,3750,Petrol,145,42.2,1.4,17490
KbcCh8dfE8hcnrAH63jpwz,A,A_4,2019,Manual,1160,Petrol,145,39.2,1.4,15240
oJxSDVSb66NQNwH4Lpswzd,B,B_7,2019,Semi-Auto,1700,Diesel,145,52.3,2.0,27440
GoRgiESRFDdb36yfCLVwiy,H,H_0,2019,Semi-Auto,1710,Petrol,145,44.8,1.5,21999
L2WsREj9d4ung4VaojAyGB,C,C_5,2019,Automatic,4191,Diesel,145,45.6,2.0,31990
goh4xz6R3dHD4Q8RV3GWKq,G,G_0,2017,Manual,18250,Petrol,145,64.2,1.1,9697
Venb4zbZivVjufjX68BXpd,C,C_0,2018,Manual,13500,Petrol,150,44.1,1.0,17499
29b8B8xFVqNaZB2cSdCnHG,G,G_0,2019,Manual,11805,Petrol,150,55.4,1.0,13900
RFLFioM3UyE3xs6z9r7iuV,I,I_13,2010,Automatic,85000,Petrol,305,35.8,1.6,4695
empYJWx8wcyPF2ASWAdVRd,D,D_4,2019,Manual,1913,Diesel,145,60.1,1.6,15160
hb7NXf8quysuczZanqeidp,G,G_1,2018,Manual,16087,Petrol,145,57.7,1.0,12599
nKgNNxjt7pi7UiDohfr9rE,C,C_5,2019,Semi-Auto,6000,Diesel,145,45.6,2.0,27250
LhFEnF7SPmCfSBYAt6YQCL,E,E_8,2019,Manual,2933,Diesel,145,49.6,1.6,21032
UiG4ka5zPYoy6Rabke6sfC,F,F_5,2016,Manual,26088,Petrol,0,69.0,1.0,6995
iVXfaTR7xjBqTbjh59fWrx,G,G_1,2017,Manual,28303,Diesel,145,74.3,1.5,10595
HXHgH8KrYhh6A8Gk4YYnqv,F,F_2,2014,Manual,50709,Diesel,150,53.0,2.0,10998
mQmY3mbLEPuHGmJ996xs5h,A,A_9,2019,Manual,3000,Petrol,145,44.8,1.2,9995
EvGEnkXebtktWTxPLTpJuM,E,E_2,2016,Manual,37478,Diesel,0,74.3,2.0,13998
QPVsMAqBsSRazV7TFrDhzX,G,G_0,2019,Manual,9985,Petrol,145,58.9,1.0,11940
e2UZxCbrqDR4f6rvWyMWhC,G,G_0,2018,Manual,17448,Petrol,145,55.4,1.1,9995
ARCF4bzimSbgWeuL66YiKv,A,A_0,2011,Manual,55000,Petrol,125,53.3,1.2,4000
KSuS5jjmqWWnmKkwDa6o3b,G,G_4,2017,Manual,21189,Petrol,145,53.3,1.0,10290
2p79rdnTvNeZrJYvgHZBov,I,I_17,2019,Semi-Auto,3174,Petrol,145,38.2,2.0,27299
nptVoZL895ADRHeVjYxtNF,A,A_1,2018,Manual,8075,Petrol,145,51.4,1.4,11990
37QwrutarziGR6GxFFKAqh,A,A_9,2017,Manual,12198,Petrol,145,53.3,1.2,7390
5Ato7FFojbZmgYtDfvcmv6,I,I_7,2019,Semi-Auto,7744,Petrol,145,45.6,1.3,21980
7sa9Q76sgscmDKvFdPUAye,I,I_7,2018,Semi-Auto,14717,Diesel,150,68.9,2.1,16990
EziZSSow2QoZjf2Nv6P2DD,C,C_1,2017,Manual,14811,Diesel,145,67.3,2.0,14789
99dFLdym8UkNqBnVxxAkyK,E,E_6,2017,Manual,12978,Petrol,145,49.6,2.0,20450
5Da5WG7cfPpb58LomTXJxt,G,G_4,2019,Manual,647,Petrol,145,52.3,1.0,18799
oRCNHxqLYFobj3yaKzaKw2,G,G_1,2018,Manual,13418,Petrol,145,58.9,1.0,13698
oBGbdFZa2TruYmggfdkKEj,A,A_4,2019,Manual,11568,Petrol,145,39.2,1.4,15010
3o2C4tc6kjVdVHwFiwYLaC,G,G_3,2017,Manual,11115,Diesel,145,54.3,2.0,17500
cSagHQJm8bnm7f4wLpatRA,C,C_4,2015,Semi-Auto,26275,Petrol,20,61.4,1.4,12498
nmCaupycacisBm8aJnQjUm,I,I_7,2018,Manual,18600,Petrol,145,49.6,1.6,15000
mgugUoNyaHmavdXBWtUxSZ,C,C_5,2014,Manual,31600,Diesel,150,53.3,2.0,8999
G4BzpaD8aEMoenz8Jnwh5m,B,B_15,2019,Semi-Auto,3489,Diesel,145,39.8,3.0,55980
F3zvqKwS9pjcASsvSMJ3zW,C,C_0,2019,Semi-Auto,4300,Petrol,145,39.8,1.5,21990
5pqXx4P6tD4C4U2D8Uumjw,A,A_1,2016,Manual,49328,Diesel,0,76.3,1.6,8290
EVFq3LvtSc2kApT24HyYfz,G,G_1,2016,Manual,41151,Diesel,0,74.3,1.5,9780
BJGXDRa9WNSwZVgHGdZxWe,B,B_7,2019,Manual,4398,Diesel,145,54.3,2.0,27480
AFRWUN6DGjcTYvPjmmRd88,G,G_3,2017,Manual,22182,Diesel,125,60.1,2.0,14989
nqzwScuqShtKP83ixkLPTf,G,G_1,2017,Manual,35491,Diesel,150,74.3,1.5,11498
BvCnHj5CDvFkomxg9anqrU,C,C_7,2016,Manual,32734,Petrol,20,62.8,1.0,6241
e5LeS8ToKyXwzRCS6Co9Fe,C,C_8,2016,Manual,35730,Diesel,20,55.4,2.0,14290
DV9pPjKVqzcKsALfp2CKHB,E,E_0,2016,Manual,75189,Diesel,0,80.7,1.6,9895
gnnFZihaLrekvSTSTUyKfy,I,I_7,2017,Semi-Auto,27000,Diesel,145,68.9,2.1,13995
WvmmsQeBX2kUrbA5LTV88c,C,C_21,2018,Automatic,7865,Diesel,260,44.1,2.0,54999
VNnXwyKsGb8ASULJhwLddd,A,A_0,2019,Manual,11425,Petrol,145,43.5,1.4,10399
hcedDruvVL8UfmrZ5kzKfX,G,G_3,2017,Manual,26789,Diesel,150,60.1,2.0,16295
YNiRJV4SbBqmHskiKkVkpi,A,A_12,2017,Manual,33254,Diesel,150,53.3,2.0,13998
fscnkvDD47o42H7y6EBxDe,D,D_3,2014,Manual,54304,Diesel,145,53.3,0.0,8700
nfyFSeGRSq2KtJnKdLSbkT,I,I_23,2007,Automatic,60000,Diesel,565,30.4,3.0,6950
SZJp4snGCfpS2s7HYp5wtM,C,C_7,2014,Manual,5000,Petrol,20,60.1,1.0,7495
P78JaQxXtTrcCV2HUviXJw,C,C_1,2016,Manual,35106,Diesel,20,67.3,2.0,14998
BaqQeu8JNFN86ZiQxURuZ2,G,G_0,2015,Manual,9827,Petrol,0,65.7,1.0,8795
EG2bXCXNCEaDyR7jYFocYN,I,I_9,2017,Automatic,23183,Diesel,145,58.9,2.1,23290
NYvUtAGqLEGt8KRq4qrRdk,G,G_0,2017,Manual,19130,Petrol,150,65.7,1.0,10498
nGjMimsK9ePgCXgHc8f7RC,G,G_1,2016,Manual,43150,Diesel,20,67.3,2.0,13999
dLkBrQ5pgfxeCvzySChhmS,C,C_0,2019,Manual,4809,Petrol,145,42.2,1.5,21290
ZCdUFyuh6Se7hzMRdksE5S,E,E_8,2017,Manual,24654,Diesel,30,64.2,1.6,16298
QBUAcrKW3TwDBLj8PuQk4T,G,G_7,2019,Manual,2000,Petrol,145,43.5,1.2,11140
hPsHgeiPBhVekjCtJDYjrH,G,G_0,2019,Manual,10567,Petrol,145,58.9,1.0,12798
c8zobCxqrRHxrGn6wUVGHm,B,B_0,2017,Automatic,15838,Diesel,145,60.1,2.0,22998
9V3r3D7KyBA7iUrg4FWmcJ,C,C_1,2017,Manual,15712,Diesel,0,74.3,1.6,12872
HebUfPkNrnJSekRkQPMRUf,I,I_5,2017,Semi-Auto,27219,Diesel,145,56.5,2.1,19890
Bk3pLu3oYM9khjUVPnru7d,C,C_4,2016,Manual,43920,Petrol,20,60.1,1.2,7950
Yg6D7XW66xpyXaHSnmN25K,F,F_5,2017,Manual,10947,Petrol,145,68.9,1.0,7999
ardUfagYUvpk7xDp8FaLzr,C,C_1,2016,Semi-Auto,23033,Diesel,30,62.8,2.0,17698
DDNgqzDsiSA7urZY5Svmhi,G,G_3,2019,Automatic,4985,Diesel,145,42.2,2.0,24999
5MDVQzefa88wHSLzpzXnjb,I,I_9,2019,Semi-Auto,9163,Petrol,145,46.3,1.5,26299
bB2EjeHigwy5ns83oGK46t,B,B_2,2017,Semi-Auto,8789,Petrol,30,55.5,1.5,15792
bytWa6p6bYxN2TqA9ujdqg,I,I_8,2017,Semi-Auto,22000,Petrol,145,34.0,3.0,33999
dcbeD4N6dv2nMfA5a5L32h,D,D_1,2017,Semi-Auto,9191,Diesel,125,57.6,1.7,15730
DWSgQ4QLYGY8EQhmASWbES,I,I_5,2019,Semi-Auto,12741,Diesel,145,67.3,2.1,23480
MCGWGbcPpvBRAiuBv8PuUJ,F,F_6,2019,Automatic,6037,Hybrid,135,74.3,1.8,24795
mnMpwwq3teQDRFwHd4pKfn,E,E_2,2017,Semi-Auto,32585,Petrol,240,38.7,3.0,25950
cD8xTJJEa2i49AAAe9HKrS,I,I_16,2015,Semi-Auto,30657,Diesel,200,39.2,2.1,23995
cvjEEwDAKjYGk5BaF8GfRH,A,A_12,2016,Manual,20184,Diesel,0,74.3,1.6,8688
549dsHhRoNEKcznhgucWJ9,G,G_15,2016,Semi-Auto,3950,Diesel,145,52.3,2.0,19170
BEvQfFN8EjjXYfzQPCYPNL,C,C_2,2015,Manual,61992,Diesel,20,68.9,2.0,9295
LHkmq5a2PStzup3vp9wLWy,H,H_7,2016,Manual,27794,Petrol,20,58.9,1.2,8250
e6FS7HV3Y6oPWN22sxzhge,B,B_0,2015,Automatic,79340,Diesel,30,62.8,2.0,11500
DF6bjWz37pthtisPRwhM7p,G,G_3,2019,Automatic,8000,Diesel,145,38.7,2.0,23000
cjxGtEnjKR9siKsuVjXYxa,A,A_10,2019,Automatic,4388,Diesel,145,57.7,1.5,20995
YmSiG4XcBQgTWu3bH37V6m,G,G_3,2016,Manual,31288,Diesel,125,60.1,2.0,14800
7MYebBRGa3kZLaD58CLc9A,G,G_0,2017,Manual,22084,Petrol,125,54.3,1.2,8995
kJUzdQJHhB4z4dDvAnwxwh,H,H_3,2019,Automatic,7616,Diesel,145,47.1,2.0,26950
DixXvEy93sLLv7VpNYJkRY,G,G_0,2015,Manual,30540,Petrol,125,54.3,1.2,5999
E2fWcGBsHQaRYgGYoz5Lqm,B,B_2,2016,Manual,10,Diesel,20,68.9,2.0,20990
aNW8Z9ANuAzYgmALXSkQRb,G,G_0,2017,Manual,23609,Petrol,150,65.7,1.0,11500
6PVgf7FrMLrrskfGxacdfs,A,A_12,2019,Manual,12388,Petrol,145,50.4,1.5,15298
8WJugVHDCRvUnPxzjsDdN4,F,F_3,2017,Manual,63379,Petrol,30,58.0,1.3,7500
h5Zyt8VWWqhVmfSxg8T7r7,B,B_0,2014,Semi-Auto,38094,Diesel,30,62.8,2.0,12995
jvJs9Z4so9Er43JSm2Xbvx,A,A_1,2017,Manual,15968,Petrol,150,62.8,1.0,10498
9SUwAzgUBZUJGMMamXz7A6,F,F_3,2016,Automatic,21805,Hybrid,0,78.0,1.5,12070
iTsvHsnXaUunUYNL9rrJES,C,C_4,2017,Manual,34541,Petrol,20,60.1,1.2,10000
hNZFA5V22NgoaRsU2vyNxq,C,C_12,2017,Semi-Auto,24987,Diesel,235,42.8,3.0,24990
RF8i7uGs3LMa3BXw399ccL,B,B_4,2020,Manual,101,Petrol,145,40.4,1.5,31150
QPNfqJoMim2B6U3dnuHfJn,I,I_9,2015,Semi-Auto,31878,Diesel,20,65.7,2.1,13448
Kjxk9tev8hQARHFq7zVVHs,B,B_2,2018,Manual,8067,Petrol,145,52.3,1.5,17980
Z6wDMSQbkfax6dtdHgFHEJ,E,E_5,2019,Automatic,5000,Diesel,145,38.2,2.0,32490
7MeHshfwBC4ZJQCv3jdSr4,G,G_1,2019,Manual,4989,Petrol,145,60.1,1.0,17290
SpVdE7nJ7SSKi6vVgwQsJB,I,I_9,2019,Semi-Auto,14366,Diesel,145,57.7,2.0,28999
4NXAWPCuvp6WP5B5RTsi7v,B,B_2,2015,Semi-Auto,23484,Diesel,30,64.2,2.0,11995
2RAxWWYNoFcEa7hqasNtsC,F,F_5,2017,Manual,11620,Petrol,145,69.0,1.0,6699
aAcwp9Xbn4ScQxWcW34qsc,H,H_5,2017,Manual,50000,Diesel,145,74.3,1.6,8495
XnB8h2zk49Afj7G5JT7RW3,B,B_2,2017,Manual,53000,Diesel,20,72.4,1.5,11950
CEMqwtujFECKoTvfFZGVCh,E,E_4,2019,Semi-Auto,3362,Petrol,145,30.7,2.0,37201
kRfWDQjefokP9CVdvRejY8,A,A_4,2018,Automatic,11000,Petrol,145,37.2,1.4,14299
aJayLYzPgfR8T9R8BHd3ew,C,C_5,2017,Manual,33686,Diesel,125,58.9,2.0,16302
Vc6xtS4Ut3GtVzBH3AtoXS,H,H_5,2016,Manual,59997,Diesel,0,74.3,1.6,6680
